,features,rank
108,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.7142857142857142,0.3628048780487805,0.23030303030303031,0.012166459283837965,0.234375,0.21153846153846156,0.006666666666666666])",28
109,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.1488095238095238,0.45121951219512196,0.2106060606060606,0.033181252592285354,0.328125,0.23076923076923078,0.02])",89
110,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.24430714285714283,0.36055121951219515,0.2797541414141414,0.04825107147794829,0.25,0.13461538461538464,0.008571428571428572])",12
111,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.3911571428571428,0.43786341463414635,0.26310727272727275,0.0020738282870178346,0.171875,0.15384615384615385,0.021538461538461538])",14
112,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.4031738095238095,0.375609756097561,0.2812121212121212,0.009263099682012997,0.203125,0.21153846153846156,0.008888888888888889])",18
113,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.4679095238095238,0.38176097560975614,0.29082121212121215,0.0029033596018249687,0.21875,0.13461538461538464,0.004705882352941177])",11
114,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.14130434782608695,0.3571428571428571,0.4567634146341463,0.2501377777777778,0.029448361675653255,0.0625,0.038461538461538464,0.009230769230769232])",13
115,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.5757571428571429,0.5764975609756098,0.20982545454545456,0.0012442969722107008,0.078125,0.038461538461538464,0.035])",20
116,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.10869565217391304,0.4188309523809524,0.45121951219512196,0.2494030303030303,0.0024885939444214016,0.203125,0.21153846153846156,0.005])",16
117,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.12979598816972818,0.20807380952380952,0.3637317073170732,0.27773393939393937,0.024471173786810452,0.125,0.11538461538461539,0.009411764705882354])",14
118,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.12979598816972818,0.2592595238095238,0.27100243902439025,0.2832771717171717,0.019770496336236693,0.171875,0.13461538461538464,0.005])",24
119,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.12979598816972818,0.41615,0.36267317073170735,0.2983751515151515,0.00041476565740356696,0.203125,0.11538461538461539,0.004705882352941177])",13
120,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.16304347826086957,0.29285714285714287,0.2975609756097561,0.20464646464646463,0.013687266694317711,0.078125,0.038461538461538464,0.01])",21
121,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.08333333333333333,0.16304347826086957,0.45238095238095233,0.2764219512195122,0.39158242424242423,0.06415042167841835,0.03125,0.019230769230769232,0.006666666666666666])",27
122,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.10869565217391304,0.3538952380952381,0.4578707317073171,0.2394858585858586,0.006912760956726116,0.0625,0.057692307692307696,0.023333333333333334])",15
123,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.11956521739130435,0.2784690476190476,0.3923658536585366,0.2527886868686869,0.03788193004285912,0.421875,0.25,0.014285714285714287])",13
124,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.11956521739130435,0.2857142857142857,0.29162195121951223,0.2787878787878788,0.013549011475183188,0.0625,0.038461538461538464,0.0022222222222222222])",11
125,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.10714285714285714,0.18292682926829268,0.301010101010101,0.5683672058620213,0.3125,0.34615384615384615,0.013333333333333332])",80
126,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.12979598816972818,0.27329285714285717,0.2810170731707317,0.2918753535353535,0.010369141435089175,0.25,0.25,0.004])",8
127,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.125,0.2608695652173913,0.19372380952380952,0.2949,0.2599632323232323,0.06401216645928383,0.09375,0.038461538461538464,0.006666666666666666])",2
128,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.16666666666666666,0.10869565217391304,0.34368571428571426,0.3690341463414635,0.2517347474747475,0.0019355730678833128,0.09375,0.038461538461538464,0.0125])",14
